Accident	an unexpected event or circumstance without deliberate intent.
Residence	the domicile location of a member as shown by his or her determination as a resident.
Residual Market Plan	method devised for coverage of greater than average risk individuals who cannot obtain insurance through normal market channels.
Retention	a mechanism of internal fund allocation for loss exposure used in place of or as a supplement to risk transfer to an insurance company.
Retention Limit	maximum amount of medical and hospital expense an insurer will carry on its own. The limit can be for an individual claim and/or for the insurers total claims, depending upon the terms of the reinsurance contract.
Retrocession	the portion of risk that a reinsurance company cedes or amount of insurance the company chooses not to retain.
Retrospective Rating	the process of determining the cost of an insurance policy based on the actual loss experience determined as an adjustment to the initial premium payment.
Rider	an amendment to a policy agreement.
Risk	Uncertainty concerning the possibility of loss by a peril for which insurance is pursued.
Risk Retention Act	a 1986 federal statute amending portions of the Product Liability Risk Retention Act of 1981 and enacted to make organization of Risk Retention Groups and Purchasing Groups more efficient.
Risk Retention Group	group-owned insurer organized for the purpose of assuming and spreading the liability risks to its members.
Salvage	value recoverable after a loss.
Statutory Accounting Principles (SAP)	a set of accounting principles set forth by the National Association of Insurance Commissioners used to prepare statutory financial statements for insurance companies.
Securitization of Insurance Risk	a method for insurance companies to access capital and hedge risks by converting policies into securities that can be sold in financial markets.
Security	a share, participation, or other interest in property or in an enterprise of the issuer or an obligation of the issuer.
Self-Insurance	type of insurance often used for high frequency low severity risks where risk is not transferred to an insurance company but retained and accounted for internally.
Separate Account	segregated funds held and invested independently of other assets by an insurer for the purpose of a group retirement fund.
Short-term Disability	a company standard defining a period of time employees are eligible for short-term disability coverage, typically for 2 years or less.
Short-Term Medical	policies that provide major medical coverage for a short period of time, typically 30 to 180 days. These policies may be renewable for multiple periods.
Situs of Contract	the jurisdiction in which the contract is issued or delivered as stated in the contract.
Social Insurance	compulsory insurance plan administered by a federal or state government agency with the primary emphasis on social adequacy.
Soft Market	a buyer's market characterized by abundant supply of insurance driving premiums down.
Special revenue bond	any security, or other instrument under which a payment obligation is created, issued by or on behalf of a governmental unit to finance a project serving a substantial public purpose and not payable from the sources in connection with the payment of municipal obligation bonds.
Specified Disease Coverage	coverage that provides primarily pre-determined benefits for expenses of the care of cancer and/or other specified diseases.
Specified/Named Disease	policies that provide benefits only for the diagnosis and/or treatment of a specifically named disease or diseases. Benefits can be paid as expense incurred, per diem or as a principal sum.
Standard Risk	a person who, according to a company's underwriting standards, is considered a normal risk and insurable at standard rates. High or low risk candidates may qualify for extra or discounted rates based on their deviation from the standard.
State Children's Health Insurance Program	policies issued in association with the Federal/State partnership created by title XXI of the Social Security Act.
State of Domicile	the state where a company's home office is located.
State Page	Exhibit of Premiums and Losses for each state a company is licensed. The state of domicile receives a schedule for each jurisdiction the company wrote direct business, or has amounts paid, incurred or unpaid.
Statement Type	refers to the primary business type under which the company files its annual and quarterly statement, such as Life, Property, Health, Fraternal, Title.
Statement Value	the Statutory Accounting Principle book value reduced by any valuation allowance and non-admitted adjustment applied to an individual investment or a similar group of investments, e.g., bonds, mortgage loans, common stock.
Statutory Accounting	method of accounting standards and principles used by state regulatory authorities to measure the financial condition of regulated companies and other insurance enterprises. This method tends to be more conservative than the Generally Accepted Accounting Principles used by most businesses. Compliance with solvency and other standards is determined using financial documents prepared in accordance with Statutory Accounting Principles.
Stock Insurance Company	business owned by stockholders.
Stop Loss/Excess Loss	individual or group policies providing coverage to a health plan, a self-insured employer plan, or a medical provider providing coverage to insure against the risk that any one claim or an entire plan's losses will exceed a specified dollar amount.
Structured Securities	loan-backed securities that have been divided into two or more classes of investors where the payment of interest and/or principal of any class of securities has been allocated in a manner that is not proportional to interest and/or principal received by the issuer from the mortgage pool or other underlying securities.
Structured Settlements	periodic fixed payments to a claimant for a determinable period, or for life, for the settlement of a claim.
Subrogation	situation where an insurer, on behalf of the insured, has a legal right to bring a liability suit against a third party who caused losses to the insured. Insurer maintains the right to seek reimbursement for losses incurred by insurer at the fault of a third party.
Subrogation Clause	section of insurance policies giving an insurer the right to take legal action against a third party responsible for a loss to an insured for which a claim has been paid.
Subsequent Event	events or transactions that occur subsequent to the balance sheet date, but before the issuance of the statutory financial statements and before the date the audited financial statements are issued, or available to be issued.
Substandard Risk	(impaired risk) risks deemed undesirable due to medical condition or hazardous occupation requiring the use of a waiver, a special policy form, or a higher premium charge.
Superfund	federal act mandating retroactive liability for environmental pollution where responsible party maintains accountability for environmental clean-up regardless of length of time since polluting event occurred.
Surety Bond	a three-party agreement whereby a guarantor (insurer) assumes an obligation or responsibility to pay a second party (obligee) should the principal debtor (obligor) become in default.
Surplus	insurance term referring to retained earnings.
Surplus Line	specialized property or liability coverage available via nonadmitted insurers where coverage is not available through an admitted insurer, licensed to sell that particular coverage in the state.
Swap	an agreement to exchange or net payments as the buyer of an Option, Cap or Floor and to make payments as the seller of a different Option, Cap or Floor.
Tenants	homeowners insurance sold to tenants occupying the described property.
Term	period of time for which policy is in effect.
Term Insurance	life insurance payable only if death of insured occurs within a specified time, such as 5 or 10 years, or before a specified age.
Third Party	person other than the insured or insurer who has incurred losses or is entitled to receive payment due to acts or omissions of the insured.
Title Insurance	coverage that guarantees the validity of a title to real and personal property. Buyers of real and personal property and mortgage lenders rely upon the coverage to protect them against losses from undiscovered defects in existence when the policy is issued.
Total Liabilities	total money owed or expected to be owed by the insurance company.
Total Revenue	premiums, revenue, investment income, and income from other sources.
Travel Coverage	covers financial loss due to trip cancellation/interruption; lost or damaged baggage; trip or baggage delays; missed connections and/or changes in itinerary; and casualty losses due to rental vehicle damage.
Treaty	a reinsurance agreement between the ceding company and reinsurer.
Unallocated Loss Adjustment Expense (ULAE)	loss adjustment expenses that cannot be specifically tied to a claim.
Umbrella and Excess (Commercial)	coverage for the liability of a commercial venture above a specific amount set forth in a basic policy issued by the primary insurer; or a self-insurer for losses over a stated amount; or an insured or self-insurer for known or unknown gaps in basic coverages or self-insured retentions.
Umbrella and Excess (Personal)	non-business liability protection for individuals above a specific amount set forth in a basic policy issued by the primary insurer; or a self-insurer for losses over a stated amount; or an insured or self-insurer for known or unknown gaps in basic coverages or self-insured retentions.
Unauthorized Reinsurance	reinsurance placed with a company not authorized in the reporting company's state of domicile.
Underinsured Motorist Coverage	policy option for bodily injury or property losses caused by a motorist with coverage insufficient to cover total dollar amount of losses. Compensation for the injured party is equal to the difference between the losses incurred and the liability covered by the motorist at fault.
Underlying Interest	the asset(s), liability(ies) or other interest(s) underlying a derivative instrument, including, but not limited to, any one or more securities, currencies, rates indices, commodities, derivative instruments, or other financial market instruments.
Underwriter	person who identifies, examines and classifies the degree of risk represented by a proposed insured in order to determine whether or not coverage should be provided and, if so, at what rate.
Underwriting	the process by which an insurance company examines risk and determines whether the insurer will accept the risk or not, classifies those accepted and determines the appropriate rate for coverage provided.
Underwriting Risk	section of the risk-based capital formula calculating requirements for reserves and premiums.
Unearned Premium	amount of premium for which payment has been made by the policyholder but coverage has not yet been provided.
Unearned Premium Reserve	all premiums (fees) received for coverage extending beyond the statement date; appears as a liability on the balance sheet.
Universal Life Insurance	adjustable life insurance under which premiums and coverage are adjustable, company expenses are not specifically disclosed to the insured but a financial report is provided to policyholder's annually.
Unpaid Losses	claims that are in the course of settlement. The term may also include claims that have been incurred but not reported.
Valued Policy	an insurance contract for which the value is agreed upon in advance and is not related to the amount of the insured loss.
Valued Policy Law	state legislation which specifies that the insured shall receive the face amount of the policy in the event of a total loss to a dwelling rather than the actual cash value regardless of the principle of indemnity.
Variable Annuity	an annuity contract under which the premium payments are used to purchase stock and the value of each unit is relative to the value of the investment portfolio.
Variable Life Insurance	life insurance whose face value and/or duration varies depending upon the value of underlying securities.
Variable Universal Life	combines the flexible premium features of universal life with the component of variable life in which excess credited to the cash value of the account depends on investment results of separate accounts. The policyholder selects the accounts into which the premium payments are to be made.
Viatical Settlements	contracts or agreements in which a buyer agrees to purchase all or a part of a life insurance policy.
Vision	limited benefit expense policies. Provides benefits for eye care and eye care accessories. Generally provides a stated dollar amount per annual eye examination. Benefits often include a stated dollar amount for glasses and contacts. May include surgical benefits for injury or sickness associated with the eye.
Warrant	an agreement that gives the holder the right to purchase an underlying financial instrument at a given price and time or at a series of prices and times according to a schedule or warrant agreement.
Warranty	coverage that protects against manufacturer's defects past the normal warranty period and for repair after breakdown to return a product to its originally intended use. Warranty insurance generally protects consumers from financial loss caused by the seller's failure to rectify or compensate for defective or incomplete work and cost of parts and labor necessary to restore a product's usefulness. Includes but is not limited to coverage for all obligations and liabilities incurred by a service contract provider, mechanical breakdown insurance and service contracts written by insurers.
Whole Life	life insurance that may be kept in force for a person's entire life and that pays a benefit upon the person's death, whenever that may be.
Whole Life Insurance	life insurance that may be kept in force for the duration of a person's life and pays a benefit upon the person's death. Premiums are made for same time period.
Workers' Compensation	insurance that covers an employer's liability for injuries, disability or death to persons in their employment, without regard to fault, as prescribed by state or federal workers' compensation laws and other statutes.
Written Premium	the contractually determined amount charged by the reporting entity to the policyholder for the effective period of the contract based on the expectation of risk, policy benefits, and expenses associated with the coverage provided by the terms of the insurance contract.
